0	 -153.7387080308
10	 -153.7359969300
20	 -153.7278423997
30	 -153.7142176162
40	 -153.6951420334
50	 -153.6707691865
60	 -153.6413388480
70	 -153.6062212585
80	 -153.5597939074
90	 -153.4755786418
100	 -153.2447922983
110	 -152.3149007192
130	 -151.5088136333
140	 -153.1035780780
150	 -153.4309606421
160	 -153.5242278920
170	 -153.5531923152
180	 -153.5600093261
190	 -153.5531923152
200	 -153.5242278920
210	 -153.4309606421
220	 -153.1035780780
230	 -151.5088136333
250	 -152.3149007192
260	 -153.2447922983
270	 -153.4755786418
280	 -153.5597939074
290	 -153.6062212585
300	 -153.6413388480
310	 -153.6707691865
320	 -153.6951420334
330	 -153.7142176162
340	 -153.7278423997
350	 -153.7359969300
360	 -153.7387080308
