# Radius (Ang) | Angle (Deg) | Energy (Hartrees)
  1.6164		  132.187		-548.2180376651
  1.6164		  124.364		-548.2242744162
  1.6164		  112.715		-548.2253492267
  1.6164		  96.3889		-548.2056866868
  1.6164		  111.776		-548.2249523722
  1.6164		  126.653		-548.2228694612
  1.6164		  104.895		-548.2195291449
  1.6164		  99.6136		-548.2119873928
  1.6164		  129.971		-548.2202071763
  1.6164		  145.492		-548.1993711905
  1.6164		  110.972		-548.2245501652
  1.6164		  97.9397		-548.2088909914
  1.6164		  141.056		-548.2065484991
  1.6164		  129.362		-548.2207495154
  1.6164		  140.146		-548.2079149419
  1.55773		  109.176		-548.2383286108
  1.55773		  139.21		-548.2237446112
  1.55773		  144.224		-548.2151322010
  1.55773		  138.814		-548.2243677160
  1.55773		  145.78		-548.2122141474
  1.55773		  93.6886		-548.2097550115
  1.55773		  96.9217		-548.2186443395
  1.55773		  103.868		-548.2321963107
  1.55773		  91.16		-548.2014367423
  1.55773		  137.963		-548.2256761872
  1.55773		  148.267		-548.2073483228
  1.55773		  123.474		-548.2405361337
  1.55773		  130.621		-548.2350750348
  1.55773		  134.676		-548.2303189741
  1.55773		  101.357		-548.2280860917
  1.47036		  123.428		-548.2473929527
  1.47036		  140.092		-548.2271648219
  1.47036		  100.076		-548.2266378014
  1.47036		  94.8016		-548.2103798538
  1.47036		  145.323		-548.2165744946
  1.47036		  143.538		-548.2203683533
  1.47036		  145.476		-548.2162413864
  1.47036		  134.327		-548.2367372167
  1.47036		  120.723		-548.2483076817
  1.47036		  148.182		-548.2101627526
  1.47036		  104.566		-548.2364023640
  1.47036		  94.2457		-548.2083191891
  1.47036		  120.974		-548.2482541472
  1.47036		  130.16		-548.2420515385
  1.47036		  102.211		-548.2317035496
  1.34792		  98.6272		-548.1558060849
  1.34792		  128.749		-548.1914968080
  1.34792		  117.229		-548.1949865042
  1.34792		  123.526		-548.1951766047
  1.34792		  98.4059		-548.1548869583
  1.34792		  135.546		-548.1821439994
  1.34792		  92.8721		-548.1272316119
  1.34792		  100.893		-548.1644764777
  1.34792		  131.003		-548.1889354005
  1.34792		  94.8573		-548.1382410137
  1.34792		  138.304		-548.1770414940
  1.34792		  139.867		-548.1738482471
  1.34792		  137.286		-548.1790060968
  1.34792		  116.239		-548.1944519940
  1.34792		  103.516		-548.1729380292
  1.46332		  143.355		-548.2198797394
  1.46332		  108.228		-548.2411322011
  1.46332		  91.6095		-548.1956824507
  1.46332		  149.891		-548.2051436139
  1.46332		  114.196		-548.2465659983
  1.46332		  106.263		-548.2382919745
  1.46332		  119.549		-548.2477857024
  1.46332		  107.193		-548.2397056160
  1.46332		  139.157		-548.2280889925
  1.46332		  101.122		-548.2280384576
  1.46332		  131.394		-548.2399381806
  1.46332		  129.999		-548.2415471710
  1.46332		  145.792		-548.2146293941
  1.46332		  90.3041		-548.1895459257
  1.46332		  148.305		-548.2088994550
  1.57489		  127.221		-548.2342859708
  1.57489		  121.709		-548.2373533468
  1.57489		  127.621		-548.2339734367
  1.57489		  112.737		-548.2369492620
  1.57489		  137.948		-548.2221264226
  1.57489		  120.292		-548.2377519269
  1.57489		  114.925		-548.2377097940
  1.57489		  115.868		-548.2379011508
  1.57489		  146.693		-548.2073222378
  1.57489		  133.556		-548.2280118774
  1.57489		  113.273		-548.2371771934
  1.57489		  96.3878		-548.2147162056
  1.57489		  107.506		-548.2332267864
  1.57489		  123.811		-548.2364625065
  1.57489		  93.9946		-548.2084027683
  1.41171		  108.262		-548.2268119433
  1.41171		  110.123		-548.2294300814
  1.41171		  118.288		-548.2350795076
  1.41171		  126.28		-548.2326058088
  1.41171		  139.804		-548.2136463434
  1.41171		  96.0959		-548.1942340829
  1.41171		  121.07		-548.2350497687
  1.41171		  144.595		-548.2033433027
  1.41171		  123.361		-548.2343464849
  1.41171		  140.501		-548.2122469854
  1.41171		  133.294		-548.2248462437
  1.41171		  142.733		-548.2075319032
  1.41171		  138.109		-548.2168958867
  1.41171		  98.0694		-548.2016334174
  1.41171		  132.986		-548.2252860606
  1.3721		  120.831		-548.2143720680
  1.3721		  97.7789		-548.1745516761
  1.3721		  95.4338		-548.1643261720
  1.3721		  129.85		-548.2087400623
  1.3721		  135.716		-548.2003619647
  1.3721		  113.941		-548.2117773794
  1.3721		  122.062		-548.2141722842
  1.3721		  134.396		-548.2025392025
  1.3721		  110.992		-548.2085623545
  1.3721		  136.618		-548.1987822738
  1.3721		  119.519		-548.2143727271
  1.3721		  135.995		-548.1998811993
  1.3721		  138.564		-548.1951299801
  1.3721		  139.727		-548.1927943385
  1.3721		  131.978		-548.2060955475
  1.59979		  98.4096		-548.2140313801
  1.59979		  133.009		-548.2221331370
  1.59979		  135.822		-548.2187297365
  1.59979		  148.402		-548.1985563285
  1.59979		  123.135		-548.2300188110
  1.59979		  126.396		-548.2281605699
  1.59979		  97.551		-548.2122743261
  1.59979		  112.663		-548.2303511823
  1.59979		  132.036		-548.2231986926
  1.59979		  104.517		-548.2237732080
  1.59979		  110.274		-548.2291001897
  1.59979		  94.8238		-548.2059778458
  1.59979		  106.541		-548.2260384135
  1.59979		  129.335		-548.2258402260
  1.59979		  102.87		-548.2215930788
  1.71619		  116.748		-548.1879706276
  1.71619		  128.319		-548.1836674687
  1.71619		  140.699		-548.1714459232
  1.71619		  126.581		-548.1847970490
  1.71619		  125.013		-548.1856776602
  1.71619		  130.213		-548.1822591752
  1.71619		  142.415		-548.1692504023
  1.71619		  119.415		-548.1876828784
  1.71619		  125.667		-548.1853266240
