1.30	 90	 -548.0400301967
1.30	 95	 -548.0746801541
1.30	 100	 -548.1004741192
1.30	 105	 -548.1190072159
1.30	 110	 -548.1315127441
1.30	 115	 -548.1389337544
1.30	 120	 -548.1419920726
1.30	 125	 -548.1412429385
1.30	 130	 -548.1371246450
1.30	 135	 -548.1300125628
1.30	 140	 -548.1202680205
1.30	 145	 -548.1082843071
1.30	 150	 -548.0945462362
1.35	 90	 -548.1112834768
1.35	 95	 -548.1412048567
1.35	 100	 -548.1632962046
1.35	 105	 -548.1790069819
1.35	 110	 -548.1894402579
1.35	 115	 -548.1954167613
1.35	 120	 -548.1975405220
1.35	 125	 -548.1962599325
1.35	 130	 -548.1919275233
1.35	 135	 -548.1848575000
1.35	 140	 -548.1753683405
1.35	 145	 -548.1638112293
1.35	 150	 -548.1506199659
1.40	 90	 -548.1569981902
1.40	 95	 -548.1828390962
1.40	 100	 -548.2017893401
1.40	 105	 -548.2151544726
1.40	 110	 -548.2239054357
1.40	 115	 -548.2287436334
1.40	 120	 -548.2301686757
1.40	 125	 -548.2285412847
1.40	 130	 -548.2241469363
1.40	 135	 -548.2172546225
1.40	 140	 -548.2081498914
1.40	 145	 -548.1971514689
1.40	 150	 -548.1846507891
1.45	 90	 -548.1835514711
1.45	 95	 -548.2058852823
1.45	 100	 -548.2221849980
1.45	 105	 -548.2336072730
1.45	 110	 -548.2409909394
1.45	 115	 -548.2449279273
1.45	 120	 -548.2458293403
1.45	 125	 -548.2439885305
1.45	 130	 -548.2396434998
1.45	 135	 -548.2330291223
1.45	 140	 -548.2244035028
1.45	 145	 -548.2140571517
1.45	 150	 -548.2023462009
1.50	 90	 -548.1958477331
1.50	 95	 -548.2151798929
1.50	 100	 -548.2292481321
1.50	 105	 -548.2390586562
1.50	 110	 -548.2453238696
1.50	 115	 -548.2485389762
1.50	 120	 -548.2490452486
1.50	 125	 -548.2470877026
1.50	 130	 -548.2428713412
1.50	 135	 -548.2366051211
1.50	 140	 -548.2285213690
1.50	 145	 -548.2188850195
1.50	 150	 -548.2080222040
1.55	 90	 -548.1976406923
1.55	 95	 -548.2144110204
1.55	 100	 -548.2265986674
1.55	 105	 -548.2350633651
1.55	 110	 -548.2404031218
1.55	 115	 -548.2430326938
1.55	 120	 -548.2432392711
1.55	 125	 -548.2412341659
1.55	 130	 -548.2372008254
1.55	 135	 -548.2313269139
1.55	 140	 -548.2238199762
1.55	 145	 -548.2149202640
1.55	 150	 -548.2049280987
1.60	 90	 -548.1917883618
1.60	 95	 -548.2063732893
1.60	 100	 -548.2169679076
1.60	 105	 -548.2242979667
1.60	 110	 -548.2288629751
1.60	 115	 -548.2310119732
1.60	 120	 -548.2309912779
1.60	 125	 -548.2289888881
1.60	 130	 -548.2251730239
1.60	 135	 -548.2197134411
1.60	 140	 -548.2127937233
1.60	 145	 -548.2046310451
1.60	 150	 -548.1955030402
1.65	 90	 -548.1804532624
1.65	 95	 -548.1931700433
1.65	 100	 -548.2024058610
1.65	 105	 -548.2087696434
1.65	 110	 -548.2126793410
1.65	 115	 -548.2144312501
1.65	 120	 -548.2142397824
1.65	 125	 -548.2122757374
1.65	 130	 -548.2086961632
1.65	 135	 -548.2036549760
1.65	 140	 -548.1973138137
1.65	 145	 -548.1898683301
1.65	 150	 -548.1815759140
1.70	 90	 -548.1652645777
1.70	 95	 -548.1763780509
1.70	 100	 -548.1844457474
1.70	 105	 -548.1899797069
1.70	 110	 -548.1933315390
1.70	 115	 -548.1947544530
1.70	 120	 -548.1944370707
1.70	 125	 -548.1925365916
1.70	 130	 -548.1892001283
1.70	 135	 -548.1845675904
1.70	 140	 -548.1787817139
1.70	 145	 -548.1720193772
1.70	 150	 -548.1645192331
1.75	 90	 -548.1474476502
1.75	 95	 -548.1571788638
1.75	 100	 -548.1642361177
1.75	 105	 -548.1690532135
1.75	 110	 -548.1719285187
1.75	 115	 -548.1730792944
1.75	 120	 -548.1726722929
1.75	 125	 -548.1708522796
1.75	 130	 -548.1677569033
1.75	 135	 -548.1635140067
1.75	 140	 -548.1582509817
1.75	 145	 -548.1521286735
1.75	 150	 -548.1453686900
