-180	 -153.5600093261
-170	 -153.5531923152
-160	 -153.5242278920
-150	 -153.4309606421
-140	 -153.1035780780
-130	 -151.5088136333
-110	 -152.3149007191
-90	 -153.4755786418
-80	 -153.5597939074
-70	 -153.6062212585
-60	 -153.6413388480
-50	 -153.6707691865
-40	 -153.6951420334
-30	 -153.7142176162
-20	 -153.7278423997
-10	 -153.7359969300
0	 -153.7387080308
10	 -153.7359969300
20	 -153.7278423997
30	 -153.7142176162
40	 -153.6951420334
50	 -153.6707691865
60	 -153.6413388480
70	 -153.6062212585
80	 -153.5597939074
90	 -153.4755786418
100	 -153.2447922983
110	 -152.3149007192
130	 -151.5088136333
140	 -153.1035780780
150	 -153.4309606421
160	 -153.5242278920
170	 -153.5531923152
180	 -153.5600093261
